2022-02-12 14:25:11,838 [main.py         | 40] INFO: Start to run instance_3
2022-02-12 14:25:11,839 [simulator_api.py | 43] INFO: Start time of the simulator: 2022-02-12 06:00:00, time interval:  600.00
2022-02-12 14:25:11,940 [input_utils.py  | 36] INFO: Get 794 locations
2022-02-12 14:26:24,947 [input_utils.py  | 40] INFO: Get 630436 routes
2022-02-12 14:26:25,599 [input_utils.py  | 45] INFO: Get 20 drivers
2022-02-12 14:26:25,617 [input_utils.py  | 49] INFO: Get 46 orders
2022-02-12 14:26:25,617 [simulator_api.py | 76] INFO: Initial position of D_1 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,617 [simulator_api.py | 76] INFO: Initial position of D_2 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_3 is Ghim Moh Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_4 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_5 is Alexandra Village Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_6 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_7 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_8 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_9 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_10 is Bukit Timah Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_11 is Alexandra Village Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_12 is Ghim Moh Market & Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_13 is Alexandra Village Food Centre
2022-02-12 14:26:25,618 [simulator_api.py | 76] INFO: Initial position of D_14 is Ghim Moh Market & Food Centre
